2-faced	NEG	
2-faces	NEG
abnormal	NEG
abolish	NEG
abominable	NEG
abominably	NEG
abominate	NEG
abomination	NEG
abort	NEG
aborted	NEG
aborts	NEG
abrade	NEG
abrasive	NEG
abrupt	NEG
abruptly	NEG
abscond	NEG
absence	NEG
absent-minded	NEG
absentee	NEG
absurd	NEG
absurdity	NEG
absurdly	NEG
absurdness	NEG
abuse	NEG
abused	NEG
abuses	NEG
abusive	NEG
abysmal	NEG
abysmally	NEG
abyss	NEG
accidental	NEG
accost	NEG
accursed	NEG
accusation	NEG
accusations	NEG
accuse	NEG
accuses	NEG
accusing	NEG
accusingly	NEG
acerbate	NEG
acerbic	NEG
acerbically	NEG
ache	NEG
ached	NEG
aches	NEG
achey	NEG
aching	NEG
acrid	NEG
acridly	NEG
acridness	NEG
acrimonious	NEG
acrimoniously	NEG
acrimony	NEG
adamant	NEG
adamantly	NEG
addict	NEG
addicted	NEG
addicting	NEG
addicts	NEG
admonish	NEG
admonisher	NEG
admonishingly	NEG
admonishment	NEG
admonition	NEG
adulterate	NEG
adulterated	NEG
adulteration	NEG
adulterier	NEG
adversarial	NEG
adversary	NEG
adverse	NEG
adversity	NEG
afflict	NEG
affliction	NEG
afflictive	NEG
affront	NEG
afraid	NEG
aggravate	NEG
aggravating	NEG
aggravation	NEG
aggression	NEG
aggressive	NEG
aggressiveness	NEG
aggressor	NEG
aggrieve	NEG
aggrieved	NEG
aggrivation	NEG
aghast	NEG
agonies	NEG
agonize	NEG
agonizing	NEG
agonizingly	NEG
agony	NEG
aground	NEG
ail	NEG
ailing	NEG
ailment	NEG
aimless	NEG
alarm	NEG
alarmed	NEG
alarming	NEG
alarmingly	NEG
alienate	NEG
alienated	NEG
alienation	NEG
allegation	NEG
allegations	NEG
allege	NEG
allergic	NEG
allergies	NEG
allergy	NEG
aloof	NEG
altercation	NEG
ambiguity	NEG
ambiguous	NEG
ambivalence	NEG
ambivalent	NEG
ambush	NEG
amiss	NEG
amputate	NEG
anarchism	NEG
anarchist	NEG
anarchistic	NEG
anarchy	NEG
